DATE,TIME,FRAC_DAYS_SINCE_JAN1,FRAC_HRS_SINCE_JAN1,JULIAN_DAYS,EPOCH_TIME,ALARM_STATUS,INST_STATUS,CavityPressure,CavityTemp,DasTemp,EtalonTemp,WarmBoxTemp,species,MPVPosition,OutletValve,solenoid_valves,CO2,CO2_dry,CH4,CH4_dry,H2O,GPS_ABS_LAT,GPS_ABS_LONG,GPS_FIT,WS_WIND_LON,WS_WIND_LAT,WS_COS_HEADING,WS_SIN_HEADING,WIND_N,WIND_E,WIND_DIR_SDEV,WS_ROTATION,CAR_SPEED,CAR_ID,WKT,WIND_SPEED,WIND_DIRECTION
2017-03-23,17:51:55.519,81.41105926,1953.865422,82.41105926,1490291515.520,0,963,1.3999307797E+02,4.4800529480E+01,5.2875000000E+01,4.4817131042E+01,4.5144706726E+01,2.0000000000E+00,0.0000000000E+00,2.9093494161E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9508243206E+00,0.0000000000E+00,0.0000000000E+00,3.3516389493E+01,-8.6794473025E+01,2.0000000000E+00,1.6475775776E+01,2.4695695696E+00,5.1617111520E-01,-8.5648515497E-01,6.2362666963E-01,4.0424393045E+00,1.8793455577E+01,-2.3657339599E+00,7.0502796054E+00,CFADS2274,POINT(-86.794828729 33.516217909),4.09025986383,-171.230122265
2017-03-23,17:51:55.990,81.41106470,1953.865553,82.41106470,1490291515.990,0,963,1.3997930908E+02,4.4800529480E+01,5.2875000000E+01,4.4817131042E+01,4.5144706726E+01,2.0000000000E+00,0.0000000000E+00,2.9086781250E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9507658606E+00,0.0000000000E+00,0.0000000000E+00,3.3516400034E+01,-8.6794443296E+01,2.0000000000E+00,1.6428728729E+01,2.7988988989E+00,5.1546764236E-01,-8.5690868006E-01,4.9853702457E-01,4.0037055790E+00,1.9089520266E+01,-2.3519455222E+00,6.2126089642E+00,CFADS2274,POINT(-86.794774613 33.516243836),4.03462483116,-172.902126039
2017-03-23,17:51:56.457,81.41107012,1953.865683,82.41107012,1490291516.458,0,963,1.3997930908E+02,4.4800529480E+01,5.2875000000E+01,4.4817131042E+01,4.5144706726E+01,2.0000000000E+00,0.0000000000E+00,2.9086781250E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9516804126E+00,0.0000000000E+00,0.0000000000E+00,3.3516409364E+01,-8.6794414294E+01,2.0000000000E+00,1.5258558559E+01,2.9094094094E+00,4.9251599553E-01,-8.6864287332E-01,3.6711544544E-01,4.0083800923E+00,1.8574609587E+01,-2.3453099155E+00,5.5982898611E+00,CFADS2274,POINT(-86.79472365 33.516268334),4.02515648325,-174.767051374
2017-03-23,17:51:56.924,81.41107551,1953.865812,82.41107551,1490291516.924,0,963,1.3997930908E+02,4.4800529480E+01,5.2875000000E+01,4.4817131042E+01,4.5144706726E+01,2.0000000000E+00,0.0000000000E+00,2.9086781250E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9511351211E+00,0.0000000000E+00,0.0000000000E+00,3.3516410600E+01,-8.6794389569E+01,2.0000000000E+00,1.2319819820E+01,2.6761761762E+00,4.3453097347E-01,-8.9818771775E-01,2.3610626345E-01,4.0139747735E+00,1.8044295555E+01,-2.3388568983E+00,4.9913743879E+00,CFADS2274,POINT(-86.794674703 33.516291915),4.02091278815,-176.633680158
2017-03-23,17:51:57.388,81.41108088,1953.865941,82.41108088,1490291517.388,0,963,1.3999612427E+02,4.4806907654E+01,5.2875000000E+01,4.4824028015E+01,4.5149192810E+01,2.0000000000E+00,0.0000000000E+00,2.9091896484E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9520687672E+00,0.0000000000E+00,0.0000000000E+00,3.3516411831E+01,-8.6794364949E+01,2.0000000000E+00,1.0043943944E+01,2.5000000000E+00,3.5747611818E-01,-9.2891966471E-01,3.2358129313E-02,4.0494295004E+00,1.7990986988E+01,-2.3338454535E+00,4.8362866646E+00,CFADS2274,POINT(-86.794627672 33.516314694),4.0495587818,-179.542171364
2017-03-23,17:51:57.855,81.41108630,1953.866071,82.41108630,1490291517.856,0,963,1.4001866471E+02,4.4806907654E+01,5.2875000000E+01,4.4824028015E+01,4.5149192810E+01,2.0000000000E+00,0.0000000000E+00,2.9097416941E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9505184745E+00,0.0000000000E+00,0.0000000000E+00,3.3516403829E+01,-8.6794343220E+01,2.0000000000E+00,9.8097097097E+00,2.5000000000E+00,2.1851768224E-01,-9.6408155462E-01,-1.8762820146E-01,4.0910939117E+00,1.8031008727E+01,-2.3290701390E+00,4.7686126576E+00,CFADS2274,POINT(-86.794583756 33.516336116),4.09539421013,177.374106664
2017-03-23,17:51:58.322,81.41109169,1953.866201,82.41109169,1490291518.322,0,963,1.4002131653E+02,4.4806907654E+01,5.2875000000E+01,4.4824028015E+01,4.5149192810E+01,2.0000000000E+00,0.0000000000E+00,2.9098066406E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9512738495E+00,0.0000000000E+00,0.0000000000E+00,3.3516395430E+01,-8.6794321729E+01,2.0000000000E+00,9.5811811812E+00,2.5000000000E+00,7.0320259684E-02,-9.9160254685E-01,-4.5540112656E-01,4.0933282468E+00,1.8843087653E+01,-2.3234159682E+00,5.1049045873E+00,CFADS2274,POINT(-86.794543011 33.51635604),4.11858304786,173.651693835
2017-03-23,17:51:58.790,81.41109712,1953.866331,82.41109712,1490291518.791,0,963,1.4000210330E+02,4.4806907654E+01,5.2875000000E+01,4.4824028015E+01,4.5149192810E+01,2.0000000000E+00,0.0000000000E+00,2.9091765337E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9506911140E+00,0.0000000000E+00,0.0000000000E+00,3.3516379096E+01,-8.6794302387E+01,2.0000000000E+00,9.3933933934E+00,2.5000000000E+00,-1.6705414786E-01,-9.5209261226E-01,-7.4682902141E-01,4.0779102595E+00,2.0007962098E+01,-2.3173206530E+00,5.6250499127E+00,CFADS2274,POINT(-86.794507023 33.516373727),4.1457334299,169.621852233
2017-03-23,17:51:59.256,81.41110250,1953.866460,82.41110250,1490291519.256,0,963,1.4001390429E+02,4.4806907654E+01,5.2875000000E+01,4.4824028015E+01,4.5149192810E+01,2.0000000000E+00,0.0000000000E+00,2.9096107442E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9525490105E+00,0.0000000000E+00,0.0000000000E+00,3.3516361415E+01,-8.6794283642E+01,2.0000000000E+00,9.2072072072E+00,2.5000000000E+00,-4.0240404019E-01,-9.1291964939E-01,-1.0332869390E+00,4.0503631159E+00,2.0799786685E+01,-2.3122790805E+00,6.2152950365E+00,CFADS2274,POINT(-86.794473025 33.516389493),4.18008651453,165.688546452
2017-03-23,17:51:59.720,81.41110788,1953.866589,82.41110788,1490291519.721,0,963,1.4002305603E+02,4.4806907654E+01,5.2875000000E+01,4.4824028015E+01,4.5149192810E+01,2.0000000000E+00,0.0000000000E+00,2.9098742188E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9527474691E+00,0.0000000000E+00,0.0000000000E+00,3.3516338512E+01,-8.6794264057E+01,2.0000000000E+00,9.2000000000E+00,1.7918811881E+00,-5.6692606660E-01,-7.9429215464E-01,-1.3177165349E+00,4.0128062986E+00,2.1295162004E+01,-2.3080553487E+00,6.8663918213E+00,CFADS2274,POINT(-86.794443296 33.516400034),4.22362300122,161.820967573
2017-03-23,17:52:00.193,81.41111334,1953.866720,82.41111334,1490291520.193,0,963,1.4001735101E+02,4.4806907654E+01,5.2875000000E+01,4.4824028015E+01,4.5149192810E+01,2.0000000000E+00,0.0000000000E+00,2.9099421793E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9540393817E+00,0.0000000000E+00,0.0000000000E+00,3.3516312715E+01,-8.6794243768E+01,2.0000000000E+00,9.2000000000E+00,1.0441584158E+00,-7.3102970458E-01,-6.7063119361E-01,-1.5852794812E+00,3.9663302437E+00,2.1668921922E+01,-2.3052118673E+00,7.4451934654E+00,CFADS2274,POINT(-86.794414294 33.516409364),4.2714033567,158.214191107
2017-03-23,17:52:00.657,81.41111873,1953.866849,82.41111873,1490291520.658,0,963,1.4001754761E+02,4.4806907654E+01,5.2875000000E+01,4.4824028015E+01,4.5149192810E+01,2.0000000000E+00,0.0000000000E+00,2.9099539062E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9529962517E+00,0.0000000000E+00,0.0000000000E+00,3.3516284947E+01,-8.6794223533E+01,2.0000000000E+00,9.6866866867E+00,9.0000000000E-01,-8.0233823069E-01,-5.9013528948E-01,-1.8187557131E+00,3.9086462357E+00,2.1853319062E+01,-2.3044668016E+00,7.8984927480E+00,CFADS2274,POINT(-86.794389569 33.5164106),4.31107732937,155.046686554
2017-03-23,17:52:01.122,81.41112411,1953.866979,82.41112411,1490291521.123,0,963,1.4002455123E+02,4.4807575507E+01,5.2875000000E+01,4.4824823078E+01,4.5149666314E+01,2.0000000000E+00,0.0000000000E+00,2.9104906764E+04,0.0000000000E+00,0.0000000000E+00,0.0000000000E+00,1.9532205456E+00,0.0000000000E+00,0.0000000000E+00,3.3516255370E+01,-8.6794203111E+01,2.0000000000E+00,1.0291791792E+01,9.0000000000E-01,-8.5166043380E-01,-5.1969588342E-01,-2.0372073833E+00,3.8682541244E+00,2.1725815093E+01,-2.3076213043E+00,8.3038335108E+00,CFADS2274,POINT(-86.794364949 33.516411831),4.37191078289,152.226566694
