PEAK_NUM,FRACHRSTART,FRAC_HRS_SINCE_JAN1,EPOCHTIME,CH4,WKT,LON,LAT,CH4_BASELINE,CH4_THRESHOLD,PEAK_DIST_M,PEAK_CH4,PERIOD5MIN
CFADS2274_20170325_1997.994028,1997.994028,1997.994028,1490450378.5,2.5437023336,POINT(-86.813165627 33.522592809),-86.813165627,33.522592809,1.9119283703,2.10312120733,4.98375371189,3.14860583467318,4681679
CFADS2274_20170325_1997.994028,1997.994028,1997.994158,1490450378.97,2.9123915459,POINT(-86.813139351 33.522554566),-86.813139351,33.522554566,1.9119283703,2.10312120733,9.88438118578,8.051503159631588,4681679
CFADS2274_20170325_1997.994028,1997.994028,1997.994289,1490450379.439,2.902019152,POINT(-86.813114009 33.522517475),-86.813114009,33.522517475,1.9119283703,2.10312120733,14.6308356937,12.750924013647536,4681679
CFADS2274_20170325_1997.994028,1997.994028,1997.994418,1490450379.903,2.6407496339,POINT(-86.813088558 33.522480254),-86.813088558,33.522480254,1.9119283703,2.10312120733,19.3948526209,16.223040850390078,4681679
CFADS2274_20170325_1997.994028,1997.994028,1997.994546,1490450380.367,2.3766360115,POINT(-86.813062519 33.522442443),-86.813062519,33.522442443,1.9119283703,2.10312120733,24.242881781,18.475957045811967,4681679
CFADS2274_20170325_1997.994028,1997.994028,1997.994676,1490450380.832,2.1945531641,POINT(-86.813036536 33.522404713),-86.813036536,33.522404713,1.9119283703,2.10312120733,29.0805157742,19.843192355619642,4681679
CFADS2274_20170325_1998.060714,1998.060714,1998.060714,1490450618.571,2.1738744653,POINT(-86.809590418 33.516252794),-86.809590418,33.516252794,1.9119283703,2.10312120733,0.0,0.0,4681687
CFADS2274_20170325_1998.060714,1998.060714,1998.060846,1490450619.045,2.1985570942,POINT(-86.809783098 33.516166436),-86.809783098,33.516166436,1.9119283703,2.10312120733,20.2801641662,5.812877575446449,4681687
CFADS2274_20170325_1998.060714,1998.060714,1998.060976,1490450619.515,2.1518075573,POINT(-86.809900708 33.516110234),-86.809900708,33.516110234,1.9119283703,2.10312120733,32.8473813625,8.827491419352727,4681687
CFADS2274_20170325_1998.060714,1998.060714,1998.061753,1490450622.312,2.1586486617,POINT(-86.810220537 33.515965712),-86.810220537,33.515965712,1.9119283703,2.10312120733,66.5725665314,17.148178931734666,4681687
CFADS2274_20170325_1998.060714,1998.060714,1998.061882,1490450622.776,2.1842526603,POINT(-86.810220223 33.515965956),-86.810220223,33.515965956,1.9119283703,2.10312120733,66.6123598652,17.159015623094792,4681687
CFADS2274_20170325_1998.060714,1998.060714,1998.062011,1490450623.241,2.1154120626,POINT(-86.810219894 33.515966142),-86.810219894,33.515966142,1.9119283703,2.10312120733,66.6492114303,17.166514315644935,4681687
CFADS2274_20170325_1998.065903,1998.065903,1998.065903,1490450637.249,2.1760396928,POINT(-86.814002176 33.513095742),-86.814002176,33.513095742,1.9119283703,2.10312120733,0.0,0.0,4681687
CFADS2274_20170325_1998.065903,1998.065903,1998.066032,1490450637.715,2.3196373382,POINT(-86.814002176 33.513095742),-86.814002176,33.513095742,1.9119283703,2.10312120733,0.0,0.0,4681687
