PEAK_NUM,FRACHRSTART,FRAC_HRS_SINCE_JAN1,EPOCHTIME,CH4,WKT,LON,LAT,CH4_BASELINE,CH4_THRESHOLD,PEAK_DIST_M,PEAK_CH4,PERIOD5MIN
CFADS2274_20170322_1926.432082,1926.432082,1926.432082,1490192755.496,2.4779206432,POINT(-86.798836476 33.50116859),-86.798836476,33.50116859,2.07704189365,2.2847460830150004,0.0,0.0,4673091
CFADS2274_20170322_1926.432082,1926.432082,1926.432212,1490192755.962,2.7003864584,POINT(-86.798836476 33.50116859),-86.798836476,33.50116859,2.07704189365,2.2847460830150004,0.0,0.0,4673091
CFADS2274_20170322_1926.432082,1926.432082,1926.432342,1490192756.43,2.7487474331,POINT(-86.798836524 33.501168513),-86.798836524,33.501168513,2.07704189365,2.2847460830150004,0.00964969386697,0.006481752824437371,4673091
CFADS2274_20170322_1926.432082,1926.432082,1926.432471,1490192756.896,2.6036319652,POINT(-86.798836524 33.501168513),-86.798836524,33.501168513,2.07704189365,2.2847460830150004,0.00964969386697,0.006481752824437371,4673091
CFADS2274_20170322_1926.432082,1926.432082,1926.432601,1490192757.365,2.4222753519,POINT(-86.798836524 33.501168513),-86.798836524,33.501168513,2.07704189365,2.2847460830150004,0.00964969386697,0.006481752824437371,4673091
CFADS2274_20170322_1926.432082,1926.432082,1926.432732,1490192757.837,2.3034224879,POINT(-86.798836524 33.501168513),-86.798836524,33.501168513,2.07704189365,2.2847460830150004,0.00964969386697,0.006481752824437371,4673091
CFADS2274_20170322_1927.045465,1927.045465,1927.045465,1490194963.674,2.3125903993,POINT(-86.777054245 33.501449042),-86.777054245,33.501449042,2.0810918551,2.28920104061,0.0,0.0,4673165
CFADS2274_20170322_1927.045465,1927.045465,1927.045603,1490194964.171,2.5794056498,POINT(-86.777054245 33.501449042),-86.777054245,33.501449042,2.0810918551,2.28920104061,0.0,0.0,4673165
CFADS2274_20170322_1927.045465,1927.045465,1927.045734,1490194964.642,2.7164634581,POINT(-86.777054245 33.501449042),-86.777054245,33.501449042,2.0810918551,2.28920104061,0.0,0.0,4673165
CFADS2274_20170322_1927.045465,1927.045465,1927.045865,1490194965.114,2.6499291039,POINT(-86.777054245 33.501449042),-86.777054245,33.501449042,2.0810918551,2.28920104061,0.0,0.0,4673165
CFADS2274_20170322_1927.045465,1927.045465,1927.045994,1490194965.579,2.519462207,POINT(-86.777055477 33.501372027),-86.777055477,33.501372027,2.0810918551,2.28920104061,8.56443914483,3.754396201745679,4673165
CFADS2274_20170322_1927.045465,1927.045465,1927.046124,1490194966.045,2.4096543551,POINT(-86.777055477 33.501372027),-86.777055477,33.501372027,2.0810918551,2.28920104061,8.56443914483,3.754396201745679,4673165
CFADS2274_20170322_1927.045465,1927.045465,1927.046255,1490194966.518,2.3128345457,POINT(-86.777055477 33.501372027),-86.777055477,33.501372027,2.0810918551,2.28920104061,8.56443914483,3.754396201745679,4673165
CFADS2274_20170322_1927.049766,1927.049766,1927.049766,1490194979.156,2.4421970718,POINT(-86.781643171 33.498517875),-86.781643171,33.498517875,2.0810918551,2.28920104061,0.0,0.0,4673165
CFADS2274_20170322_1927.049766,1927.049766,1927.049895,1490194979.623,2.5764913773,POINT(-86.782070267 33.498560626),-86.782070267,33.498560626,2.0810918551,2.28920104061,39.8869472546,19.75997461195815,4673165
CFADS2274_20170322_1927.049766,1927.049766,1927.050026,1490194980.093,2.6230841972,POINT(-86.782150991 33.498599293),-86.782150991,33.498599293,2.0810918551,2.28920104061,48.5190981483,24.438534292166317,4673165
CFADS2274_20170322_1927.049766,1927.049766,1927.050156,1490194980.561,2.5900643753,POINT(-86.782150991 33.498599293),-86.782150991,33.498599293,2.0810918551,2.28920104061,48.5190981483,24.438534292166317,4673165
CFADS2274_20170322_1927.049766,1927.049766,1927.050285,1490194981.027,2.5750307435,POINT(-86.782288252 33.498665294),-86.782288252,33.498665294,2.0810918551,2.28920104061,63.2109897233,31.695430885247333,4673165
CFADS2274_20170322_1927.049766,1927.049766,1927.050417,1490194981.5,2.5880300946,POINT(-86.782335259 33.498679056),-86.782335259,33.498679056,2.0810918551,2.28920104061,67.8305466478,34.037260939802664,4673165
CFADS2274_20170322_1927.049766,1927.049766,1927.050547,1490194981.97,2.5438803085,POINT(-86.782335259 33.498679056),-86.782335259,33.498679056,2.0810918551,2.28920104061,67.8305466478,34.037260939802664,4673165
CFADS2274_20170322_1927.049766,1927.049766,1927.05069,1490194982.483,2.4106115915,POINT(-86.782335259 33.498679056),-86.782335259,33.498679056,2.0810918551,2.28920104061,67.8305466478,34.037260939802664,4673165
CFADS2274_20170322_1927.049766,1927.049766,1927.050846,1490194983.044,2.291980354,POINT(-86.782335259 33.498679056),-86.782335259,33.498679056,2.0810918551,2.28920104061,67.8305466478,34.037260939802664,4673165
CFADS2274_20170322_1927.719807,1927.719807,1927.719807,1490197391.307,2.3458027205,POINT(-86.783868494 33.497019407),-86.783868494,33.497019407,2.0096558732,2.2106214605199996,0.0,0.0,4673246
CFADS2274_20170322_1927.719807,1927.719807,1927.719939,1490197391.779,2.4395556618,POINT(-86.784197204 33.496823853),-86.784197204,33.496823853,2.0096558732,2.2106214605199996,37.4416853232,16.09617260527286,4673246
CFADS2274_20170322_1927.719807,1927.719807,1927.720071,1490197392.256,2.3894754671,POINT(-86.784197204 33.496823853),-86.784197204,33.496823853,2.0096558732,2.2106214605199996,37.4416853232,16.09617260527286,4673246
CFADS2274_20170322_1927.719807,1927.719807,1927.720203,1490197392.732,2.2817388517,POINT(-86.784197204 33.496823853),-86.784197204,33.496823853,2.0096558732,2.2106214605199996,37.4416853232,16.09617260527286,4673246
CFADS2274_20170322_1927.726574,1927.726574,1927.726574,1490197415.666,2.2112200088,POINT(-86.785481432 33.497463426),-86.785481432,33.497463426,2.0096558732,2.2106214605199996,0.0,0.0,4673247
CFADS2274_20170322_1927.726574,1927.726574,1927.726704,1490197416.135,2.2641189454,POINT(-86.785481432 33.497463426),-86.785481432,33.497463426,2.0096558732,2.2106214605199996,0.0,0.0,4673247
CFADS2274_20170322_1927.726574,1927.726574,1927.726835,1490197416.605,2.3216503275,POINT(-86.785481432 33.497463426),-86.785481432,33.497463426,2.0096558732,2.2106214605199996,0.0,0.0,4673247
