PEAK_NUM,FRACHRSTART,FRAC_HRS_SINCE_JAN1,EPOCHTIME,CH4,WKT,LON,LAT,CH4_BASELINE,CH4_THRESHOLD,PEAK_DIST_M,PEAK_CH4,PERIOD5MIN
CFADS2274_20170316_1783.055055,1783.055055,1783.055055,1489676598.197,2.2944741141,POINT(-86.766846163 33.474232042),-86.766846163,33.474232042,2.0358479701,2.23943276711,40.1995039209,10.396642689767265,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.055184,1489676598.661,2.3497923771,POINT(-86.766890418 33.474206074),-86.766890418,33.474206074,2.0358253474500003,2.2394078821950005,45.2181105301,11.972319699864263,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.055312,1489676599.125,2.3495265504,POINT(-86.766933849 33.474180555),-86.766933849,33.474180555,2.0358003307,2.23938036377,50.1454835531,13.51816581139844,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.055442,1489676599.59,2.3220610321,POINT(-86.766976891 33.474155248),-86.766976891,33.474155248,2.0357796445,2.23935760895,55.029785452,14.916450536479068,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.055571,1489676600.054,2.3080098034,POINT(-86.767020421 33.474129355),-86.767020421,33.474129355,2.0357672191000002,2.2393439410100004,59.9886995708,16.26647813149141,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.055701,1489676600.524,2.312826398,POINT(-86.767063978 33.474103128),-86.767063978,33.474103128,2.03574097565,2.239315073215,64.9712999248,17.64708405499324,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.055833,1489676600.998,2.3129606808,POINT(-86.767108333 33.474079284),-86.767108333,33.474079284,2.0356914465,2.23926059115,69.8656373975,19.004133258460413,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.055964,1489676601.472,2.2987624434,POINT(-86.767155162 33.474058856),-86.767155162,33.474058856,2.0356310788,2.23919418668,74.7672053139,20.293889512981046,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.056101,1489676601.965,2.2964892421,POINT(-86.767200739 33.474038121),-86.767200739,33.474038121,2.03559270715,2.239151977865,79.5824248649,21.55016360885139,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.056231,1489676602.433,2.3361392593,POINT(-86.767241227 33.474016457),-86.767241227,33.474016457,2.0355599127,2.23911590397,84.0439754423,22.891213566233553,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.056361,1489676602.899,2.4184242226,POINT(-86.767280564 33.473995404),-86.767280564,33.473995404,2.0355054065,2.23905594715,88.378985318,24.551170415639636,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.056492,1489676603.372,2.548030201,POINT(-86.76730131 33.473984226),-86.76730131,33.473984226,2.03545145845,2.238996604295,90.6697368747,25.725360968050055,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.056623,1489676603.842,2.6948089847,POINT(-86.767322012 33.473973072),-86.767322012,33.473973072,2.03541351025,2.2389548612750003,92.9556125478,27.232657042015884,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.056753,1489676604.311,2.764149249,POINT(-86.76732344 33.473972302),-86.76732344,33.473972302,2.0353944096000003,2.2389338505600005,93.1133264263,27.347591794205364,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.056884,1489676604.784,2.7049976636,POINT(-86.76732344 33.473972302),-86.76732344,33.473972302,2.0353574453,2.2388931898299997,93.1133264263,27.347591794205364,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.057015,1489676605.255,2.5913718904,POINT(-86.76732344 33.473972302),-86.76732344,33.473972302,2.0353140974,2.23884550714,93.1133264263,27.347591794205364,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.057146,1489676605.724,2.4833584448,POINT(-86.76732344 33.473972302),-86.76732344,33.473972302,2.0352930856,2.23882239416,93.1133264263,27.347591794205364,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.057276,1489676606.192,2.3924429259,POINT(-86.767463567 33.473895947),-86.767463567,33.473895947,2.0352697952499996,2.2387967747749995,108.637751346,32.892499244178836,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.057406,1489676606.662,2.3244739431,POINT(-86.76765067 33.473793994),-86.76765067,33.473793994,2.03523634855,2.2387599834049996,129.366631396,38.88807064758007,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.057535,1489676607.127,2.27994107,POINT(-86.767759373 33.473731104),-86.767759373,33.473731104,2.0352112496499997,2.2387323746149996,141.636833853,41.89095509066666,4655886
CFADS2274_20170316_1783.055055,1783.055055,1783.057664,1489676607.592,2.2498822668,POINT(-86.767810785 33.473696908),-86.767810785,33.473696908,2.03518534935,2.238703884285,147.735820687,43.200388763374704,4655886
CFADS2274_20170316_1783.161239,1783.161239,1783.161239,1489676980.461,2.3575994285,POINT(-86.820981781 33.466178087),-86.820981781,33.466178087,2.007131259,2.2078443849,0.0,0.0,4655899
CFADS2274_20170316_1783.161239,1783.161239,1783.161369,1489676980.928,2.5545660499,POINT(-86.820937749 33.466214429),-86.820937749,33.466214429,2.0071069778,2.20781767558,5.74564773697,3.1455069786963654,4655899
CFADS2274_20170316_1783.161239,1783.161239,1783.161499,1489676981.396,2.6551123406,POINT(-86.820892037 33.466252049),-86.820892037,33.466252049,2.0070910893000002,2.20780019823,11.7020274256,7.005367597755383,4655899
