PEAK_NUM,FRACHRSTART,FRAC_HRS_SINCE_JAN1,EPOCHTIME,CH4,WKT,LON,LAT,CH4_BASELINE,CH4_THRESHOLD,PEAK_DIST_M,PEAK_CH4,PERIOD5MIN
CFADS2274_20170315_1764.569139,1764.569139,1764.569139,1489610048.902,2.4670338135,POINT(-86.792274154 33.502652432),-86.792274154,33.502652432,1.9694303772,2.16637341492,1.83592654461,0.9135633573916284,4653668
CFADS2274_20170315_1764.569139,1764.569139,1764.56927,1489610049.371,2.5465954107,POINT(-86.792260157 33.502658602),-86.792260157,33.502658602,1.9694282168,2.16637103848,3.303926108,1.7608445460417994,4653668
CFADS2274_20170315_1764.569139,1764.569139,1764.569401,1489610049.842,2.5377608205,POINT(-86.792246033 33.502664643),-86.792246033,33.502664643,1.9694249203499998,2.1663674123849996,4.77574460821,2.5973318382154105,4653668
CFADS2274_20170315_1764.569139,1764.569139,1764.56953,1489610050.308,2.4964438807,POINT(-86.792229991 33.502667975),-86.792229991,33.502667975,1.9694216239,2.16636378629,6.30862457673,3.405193698629507,4653668
CFADS2274_20170315_1764.569139,1764.569139,1764.569661,1489610050.78,2.436127963,POINT(-86.792213914 33.502671313),-86.792213914,33.502671313,1.96941519665,2.166356716315,7.84481476773,4.122153272310849,4653668
CFADS2274_20170315_1764.569139,1764.569139,1764.56979,1489610051.245,2.3521323218,POINT(-86.792192148 33.502669943),-86.792192148,33.502669943,1.9694087694,2.16634964634,9.86872157365,4.896750074799671,4653668
CFADS2274_20170315_1764.569139,1764.569139,1764.569919,1489610051.709,2.2623178114,POINT(-86.792169998 33.502668112),-86.792169998,33.502668112,1.96940596405,2.166346560455,11.9325590645,5.501272526872036,4653668
CFADS2274_20170315_1764.569139,1764.569139,1764.570048,1489610052.174,2.1883781396,POINT(-86.792143359 33.502659881),-86.792143359,33.502659881,1.9694031587,2.16634347457,14.5666719432,6.078077344166763,4653668
CFADS2274_20170315_1764.589068,1764.589068,1764.589068,1489610120.645,2.2269993967,POINT(-86.790854579 33.501269421),-86.790854579,33.501269421,1.9683453238,2.16517985618,0.0,0.0,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.589198,1489610121.113,2.3540907865,POINT(-86.790802815 33.501274012),-86.790802815,33.501274012,1.9683156593,2.16514722523,4.82675992021,1.8620439221824945,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.589328,1489610121.582,2.3929226298,POINT(-86.790751674 33.501278487),-86.790751674,33.501278487,1.9682859948,2.16511459428,9.59471798973,3.8866935926440895,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.589458,1489610122.048,2.3614049604,POINT(-86.790702707 33.501282986),-86.790702707,33.501282986,1.96827210505,2.165099315555,14.1625378105,5.68245364150598,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.589587,1489610122.512,2.3155624763,POINT(-86.790656108 33.5012875),-86.790656108,33.5012875,1.9682582153,2.1650840368299997,18.5123699208,7.1931688680379136,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.589716,1489610122.976,2.276933148,POINT(-86.790613301 33.501291791),-86.790613301,33.501291791,1.96825187925,2.165077067175,22.5101172891,8.427198597844711,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.589845,1489610123.441,2.2558654596,POINT(-86.790574774 33.501295883),-86.790574774,33.501295883,1.9682455432,2.16507009752,26.1112974575,9.462969736817039,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.589974,1489610123.905,2.2533566736,POINT(-86.790538017 33.501299965),-86.790538017,33.501299965,1.9682376691,2.1650614360100002,29.5495895236,10.443292147873764,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.590102,1489610124.369,2.2633196535,POINT(-86.790506827 33.501304054),-86.790506827,33.501304054,1.968229795,2.1650527745,32.4771270265,11.307178775351433,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.590232,1489610124.834,2.2777206666,POINT(-86.79047671 33.501307996),-86.79047671,33.501307996,1.96822710035,2.165049810385,35.303841873,12.182028833968928,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.590364,1489610125.311,2.2918434291,POINT(-86.790456983 33.501310533),-86.790456983,33.501310533,1.9682244057,2.16504684627,37.1546039889,12.780970662478735,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.590495,1489610125.783,2.2999204848,POINT(-86.790437382 33.501313054),-86.790437382,33.501313054,1.9682168645,2.16503855095,38.9935483558,13.390955166498733,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.590626,1489610126.252,2.3062362391,POINT(-86.790427207 33.501314266),-86.790427207,33.501314266,1.9682093233,2.16503025563,39.9465763916,13.713104294124518,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.590754,1489610126.716,2.3113802515,POINT(-86.790417586 33.501315401),-86.790417586,33.501315401,1.9681878985,2.16500668835,40.8475424228,14.022308946323884,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.590884,1489610127.182,2.3152278664,POINT(-86.790414521 33.501315878),-86.790414521,33.501315878,1.9681664737,2.16498312107,41.1366439076,14.122644910292218,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.591014,1489610127.651,2.3173046988,POINT(-86.790412951 33.501316205),-86.790412951,33.501316205,1.9681519473,2.16496714203,41.2866904703,14.175034080521344,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.591145,1489610128.121,2.3238992731,POINT(-86.79041256 33.501316327),-86.79041256,33.501316327,1.9681374209,2.16495116299,41.3253998741,14.188805409711549,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.591274,1489610128.588,2.3542940266,POINT(-86.790412838 33.501316334),-86.790412838,33.501316334,1.9681288322500001,2.164941715475,41.3511884681,14.19876406712603,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.591404,1489610129.053,2.4326284851,POINT(-86.790413081 33.501316329),-86.790413081,33.501316329,1.9681202436,2.1649322679600003,41.3737268852,14.209233347612289,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.591533,1489610129.519,2.5411727997,POINT(-86.790413282 33.501316314),-86.790413282,33.501316314,1.96811933415,2.164931267565,41.3924385867,14.219956153014792,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.591665,1489610129.995,2.6197644843,POINT(-86.79041346 33.501316299),-86.79041346,33.501316299,1.9681184247,2.16493026717,41.409027249,14.230766089436214,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.591796,1489610130.464,2.6348268622,POINT(-86.790413601 33.501316283),-86.790413601,33.501316283,1.9680881109500001,2.164896922045,41.4222216142,14.239563283984886,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.591925,1489610130.93,2.6141669785,POINT(-86.79041373 33.501316268),-86.79041373,33.501316268,1.9680577972,2.16486357692,41.4342985436,14.247366298921026,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.592054,1489610131.394,2.586525833,POINT(-86.790413827 33.501316256),-86.790413827,33.501316256,1.96804970335,2.164854673685,41.443391063,14.252989805158073,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.592183,1489610131.858,2.5554403774,POINT(-86.790413866 33.501316252),-86.790413866,33.501316252,1.9680416095,2.16484577045,41.4470344897,14.255129949506513,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.592313,1489610132.325,2.505664078,POINT(-86.79041344 33.501316319),-86.79041344,33.501316319,1.9680228488,2.16482513368,41.4872306978,14.276741088264014,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.592442,1489610132.793,2.4327406635,POINT(-86.790413017 33.501316385),-86.790413017,33.501316385,1.9680040881,2.16480449691,41.5271329899,14.295285142837377,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.592574,1489610133.265,2.3487567744,POINT(-86.790410956 33.501316568),-86.790410956,33.501316568,1.9680008554500001,2.164800940995,41.719314308,14.368459317220319,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.592704,1489610133.734,2.2719180659,POINT(-86.790408832 33.501316756),-86.790408832,33.501316756,1.9679976228,2.16479738508,41.9173631827,14.428650418970573,4653670
CFADS2274_20170315_1764.589068,1764.589068,1764.592833,1489610134.2,2.2011570267,POINT(-86.790405615 33.501316802),-86.790405615,33.501316802,1.9679957129,2.1647952841900002,42.2156951958,14.49820990308613,4653670
CFADS2274_20170315_1764.775513,1764.775513,1764.775513,1489610791.846,2.1733615224,POINT(-86.775398775 33.503128602),-86.775398775,33.503128602,1.9646264423,2.16108908653,0.0,0.0,4653693
