PEAK_NUM,FRACHRSTART,FRAC_HRS_SINCE_JAN1,EPOCHTIME,CH4,WKT,LON,LAT,CH4_BASELINE,CH4_THRESHOLD,PEAK_DIST_M,PEAK_CH4,PERIOD5MIN
CFADS2274_20170317_1807.043053,1807.043053,1807.043053,1489762954.992,2.6174057206,POINT(-86.825946513 33.530029151),-86.825946513,33.530029151,2.00933547075,2.210269017825,0.0,0.0,4658765
CFADS2274_20170317_1807.043053,1807.043053,1807.043183,1489762955.457,2.8504677397,POINT(-86.825946513 33.530029151),-86.825946513,33.530029151,2.00933547075,2.210269017825,0.0,0.0,4658765
CFADS2274_20170317_1807.043053,1807.043053,1807.043311,1489762955.921,2.8112619761,POINT(-86.82594662 33.530029098),-86.82594662,33.530029098,2.00933547075,2.210269017825,0.0115368229679,0.009251684125485903,4658765
CFADS2274_20170317_1807.043053,1807.043053,1807.043453,1489762956.43,2.5813123623,POINT(-86.82594662 33.530029098),-86.82594662,33.530029098,2.00933547075,2.210269017825,0.0115368229679,0.009251684125485903,4658765
CFADS2274_20170317_1807.043053,1807.043053,1807.04361,1489762956.995,2.3510740786,POINT(-86.825946814 33.530029015),-86.825946814,33.530029015,2.00933547075,2.210269017825,0.0317491184966,0.016159005860917112,4658765
CFADS2274_20170317_1807.074705,1807.074705,1807.074705,1489763068.937,2.3162479268,POINT(-86.826719195 33.523127596),-86.826719195,33.523127596,2.00933547075,2.210269017825,0.0,0.0,4658768
CFADS2274_20170317_1807.074705,1807.074705,1807.074834,1489763069.401,2.7305304832,POINT(-86.826711891 33.523116203),-86.826711891,33.523116203,2.00933547075,2.210269017825,1.43642706081,1.0359440320020783,4658768
CFADS2274_20170317_1807.074705,1807.074705,1807.074963,1489763069.866,3.2718670096,POINT(-86.82670806 33.523110065),-86.82670806,33.523110065,2.00933547075,2.210269017825,2.20580570934,2.007308841095906,4658768
CFADS2274_20170317_1807.074705,1807.074705,1807.075092,1489763070.33,3.5583779701,POINT(-86.82670806 33.523110065),-86.82670806,33.523110065,2.00933547075,2.210269017825,2.20580570934,2.007308841095906,4658768
CFADS2274_20170317_1807.074705,1807.074705,1807.075221,1489763070.794,3.4568558021,POINT(-86.826707955 33.523109545),-86.826707955,33.523109545,2.00933547075,2.210269017825,2.26444058884,2.092184021294079,4658768
CFADS2274_20170317_1807.074705,1807.074705,1807.07535,1489763071.259,3.222707614,POINT(-86.826707814 33.523109147),-86.826707814,33.523109147,2.00933547075,2.210269017825,2.31058597142,2.148175543052766,4658768
CFADS2274_20170317_1807.074705,1807.074705,1807.075479,1489763071.726,3.0378187593,POINT(-86.826707682 33.523108755),-86.826707682,33.523108755,2.00933547075,2.210269017825,2.3558593209,2.1947384264179006,4658768
CFADS2274_20170317_1807.074705,1807.074705,1807.075609,1489763072.193,2.8349356826,POINT(-86.826707641 33.523108438),-86.826707641,33.523108438,2.00933547075,2.210269017825,2.39131242202,2.224008514212979,4658768
CFADS2274_20170317_1807.074705,1807.074705,1807.075739,1489763072.66,2.588336038,POINT(-86.826707641 33.523108438),-86.826707641,33.523108438,2.00933547075,2.210269017825,2.39131242202,2.224008514212979,4658768
CFADS2274_20170317_1807.074705,1807.074705,1807.075869,1489763073.127,2.3953258975,POINT(-86.826707641 33.523108438),-86.826707641,33.523108438,2.00933547075,2.210269017825,2.39131242202,2.224008514212979,4658768
CFADS2274_20170317_1807.074705,1807.074705,1807.075998,1489763073.591,2.2699986905,POINT(-86.826706626 33.523106466),-86.826706626,33.523106466,2.00933547075,2.210269017825,2.62992296318,2.28620550613681,4658768
